id,disp.sunshine,disp.keebler,disp.nabisco,disp.private,feat.sunshine,feat.keebler,feat.nabisco,feat.private,price.sunshine,price.keebler,price.nabisco,price.private,choice
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,88.0,120.0,70.99999799999999,nabisco
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.000001,109.00000000000001,99.000001,70.99999799999999,nabisco
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.000001,109.00000000000001,109.00000000000001,77.999997,sunshine
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,109.00000000000001,88.999999,77.999997,nabisco
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,109.00000000000001,119.00001,63.999998999999995,nabisco
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.999999,109.00000000000001,119.00001,83.99999700000001,nabisco
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,109.00000000000001,129.0,77.999997,sunshine
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,119.00001,129.0,77.999997,nabisco
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,121.0,109.00000000000001,77.999997,nabisco
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,121.0,109.00000000000001,77.999997,nabisco
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,112.99999999999999,109.00000000000001,95.99999799999999,nabisco
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,121.0,99.000001,86.000001,nabisco
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.999999,121.0,99.000001,86.000001,nabisco
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,109.00000000000001,129.0,95.99999799999999,nabisco
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,109.00000000000001,129.0,79.00000200000001,nabisco
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,129.0,104.0,129.0,95.99999799999999,nabisco
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,99.000001,69.0,69.0,nabisco
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,69.0,105.0,88.999999,64.999998,sunshine
2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.00000200000001,125.0,105.99999,69.0,sunshine
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,125.0,105.99999,69.0,sunshine
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,125.0,99.000001,69.0,sunshine
2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,97.000003,114.99999999999999,109.00000000000001,56.999999,sunshine
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,135.0,109.00000000000001,64.999998,sunshine
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.000003,99.000001,125.0,60.000001999999995,keebler
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,135.0,129.0,73.000002,sunshine
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,135.0,114.99999999999999,75.999999,sunshine
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,125.0,99.000001,58.99999700000001,nabisco
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,99.000001,129.0,58.99999700000001,keebler
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.999999,135.0,104.0,88.999999,sunshine
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,129.0,99.000001,58.99999700000001,nabisco
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,129.0,99.000001,64.999998,nabisco
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,129.0,129.0,64.999998,sunshine
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.000001,88.0,88.0,58.99999700000001,nabisco
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.000001,109.00000000000001,99.000001,79.00000200000001,private
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,109.00000000000001,88.999999,55.000001,private
3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,88.999999,104.0,99.000001,50.0,private
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,109.00000000000001,88.999999,69.0,private
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,109.00000000000001,119.00001,88.999999,private
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.000003,114.99999999999999,99.000001,61.000001000000005,nabisco
3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97.000003,125.0,109.00000000000001,61.000001000000005,nabisco
3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.000003,99.000001,125.0,61.000001000000005,nabisco
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,121.0,109.00000000000001,88.999999,private
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,109.00000000000001,109.00000000000001,61.000001000000005,nabisco
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,129.0,125.0,61.000001000000005,nabisco
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,129.0,125.0,61.000001000000005,nabisco
3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,93.000001,119.00001,98.000002,68.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,99.000001,109.00000000000001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.000001,109.00000000000001,94.999999,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.000001,109.00000000000001,99.000001,55.000001,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.999999,99.000001,112.99999999999999,69.0,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,109.00000000000001,88.999999,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,105.0,109.00000000000001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,109.00000000000001,119.00001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.000001,119.00001,99.000001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,119.00001,99.000001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.999999,109.00000000000001,119.00001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,119.00001,99.000001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,119.00001,99.000001,55.000001,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,98.000002,121.0,119.00001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,121.0,119.00001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,121.0,119.00001,55.000001,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,98.000002,119.00001,129.0,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,119.00001,129.0,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,121.0,109.00000000000001,55.000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00000200000001,121.0,109.00000000000001,55.000001,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,109.00000000000001,109.00000000000001,58.99999700000001,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,121.0,129.0,58.99999700000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,121.0,109.00000000000001,58.99999700000001,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.999999,121.0,99.000001,58.99999700000001,private
4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,109.00000000000001,109.00000000000001,129.0,58.99999700000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.00001,129.0,129.0,88.999999,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,94.999999,125.0,99.000001,58.99999700000001,private
4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,94.999999,119.00001,129.0,58.99999700000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.999999,104.0,99.000001,58.99999700000001,private
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.999999,104.0,123.0,58.99999700000001,private
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,88.999999,105.99999,68.000001,keebler
5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.999999,108.0,88.999999,68.000001,nabisco
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.000002,109.00000000000001,88.999999,77.999997,nabisco
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.000001,109.00000000000001,119.00001,70.99999799999999,keebler
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.999999,109.00000000000001,119.00001,83.99999700000001,nabisco
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,109.00000000000001,99.000001,126.0,68.000001,keebler
5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,125.0,109.00000000000001,64.999998,keebler
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.000003,99.000001,125.0,61.000001000000005,keebler
5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,104.0,109.00000000000001,109.00000000000001,68.000001,keebler
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.000003,125.0,125.0,64.999998,keebler
